what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300976017757
java.specification.version,sysinfo,,,"1.6",1300976017757
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1300976017757
java.version,sysinfo,,,"1.6.0_20",1300976017757
java.vm.info,sysinfo,,,"mixed mode, sharing",1300976017757
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1300976017757
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300976017757
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300976017757
java.vm.specification.version,sysinfo,,,"1.0",1300976017757
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1300976017757
java.vm.version,sysinfo,,,"16.3-b01",1300976017757
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1300976017774
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1300976017819
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1300976017847
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1300976018170
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1300976018172
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1300976018179
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1300976018201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300976025835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300976027543
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300976033475
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1300976034318
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1300976034453
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1300976034456
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1300976034458
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1300976034461
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1300976034463
